section,metric,value
energy,period_days,365.0
energy,pv_generation_kwh,5252.6
energy,load_consumption_kwh,10873.0
energy,grid_import_kwh,6367.2
energy,pv_to_load_kwh,3374.2
energy,pv_to_battery_kwh,1118.9
energy,battery_to_load_kwh,1011.8
energy,pv_curtailed_kwh,793.4
energy,battery_charge_kwh,1118.9
energy,battery_discharge_kwh,1011.8
energy,self_consumption_pct,85.5
energy,self_sufficiency_pct,41.4
energy,peak_load_w,16935.0
energy,peak_pv_w,3143.0
energy,peak_grid_w,5229.0
energy,avg_soc_pct,26.9
energy,min_soc_pct,10.0
energy,max_soc_pct,95.0
energy,daily_pv_kwh,14.4
energy,daily_load_kwh,29.8
energy,daily_grid_kwh,17.4
economic,tariff_mad_kwh,1.2
economic,total_cost_mad,7640.64
economic,daily_cost_mad,20.93
economic,monthly_cost_mad,628.0
economic,annual_cost_mad,7640.64
economic,co2_factor_kg_kwh,0.65
economic,co2_total_kg,4138.7
economic,co2_daily_kg,11.34
economic,co2_annual_kg,4138.7
forecasting,consumption_xgboost.target,consumption
forecasting,consumption_xgboost.model,xgboost
forecasting,consumption_xgboost.mae_w,37.9
forecasting,consumption_xgboost.rmse_w,73.2
forecasting,consumption_xgboost.mape_pct,3.2
forecasting,consumption_xgboost.r2,0.9941
forecasting,consumption_xgboost.test_samples,5156
forecasting,consumption.target,consumption
forecasting,consumption.model,xgboost
forecasting,consumption.mae_w,37.9
forecasting,consumption.rmse_w,73.2
forecasting,consumption.mape_pct,3.2
forecasting,consumption.r2,0.9941
forecasting,consumption.test_samples,5156
forecasting,consumption_random_forest.target,consumption
forecasting,consumption_random_forest.model,random_forest
forecasting,consumption_random_forest.mae_w,39.3
forecasting,consumption_random_forest.rmse_w,78.4
forecasting,consumption_random_forest.mape_pct,3.3
forecasting,consumption_random_forest.r2,0.9932
forecasting,consumption_random_forest.test_samples,5156
forecasting,consumption_linear_regression.target,consumption
forecasting,consumption_linear_regression.model,linear_regression
forecasting,consumption_linear_regression.mae_w,108.5
forecasting,consumption_linear_regression.rmse_w,150.4
forecasting,consumption_linear_regression.mape_pct,15.2
forecasting,consumption_linear_regression.r2,0.9749
forecasting,consumption_linear_regression.test_samples,5156
forecasting,pv_xgboost.target,pv
forecasting,pv_xgboost.model,xgboost
forecasting,pv_xgboost.mae_w,4.6
forecasting,pv_xgboost.rmse_w,8.8
forecasting,pv_xgboost.mape_pct,1.8
forecasting,pv_xgboost.r2,0.9999
forecasting,pv_xgboost.test_samples,5242
forecasting,pv.target,pv
forecasting,pv.model,linear_regression
forecasting,pv.mae_w,0.0
forecasting,pv.rmse_w,0.0
forecasting,pv.mape_pct,0.0
forecasting,pv.r2,1.0
forecasting,pv.test_samples,5242
forecasting,pv_random_forest.target,pv
forecasting,pv_random_forest.model,random_forest
forecasting,pv_random_forest.mae_w,0.1
forecasting,pv_random_forest.rmse_w,0.9
forecasting,pv_random_forest.mape_pct,0.0
forecasting,pv_random_forest.r2,1.0
forecasting,pv_random_forest.test_samples,5242
forecasting,pv_linear_regression.target,pv
forecasting,pv_linear_regression.model,linear_regression
forecasting,pv_linear_regression.mae_w,0.0
forecasting,pv_linear_regression.rmse_w,0.0
forecasting,pv_linear_regression.mape_pct,0.0
forecasting,pv_linear_regression.r2,1.0
forecasting,pv_linear_regression.test_samples,5242
anomaly_detection,statistical.precision,0.0848
anomaly_detection,statistical.recall,0.7097
anomaly_detection,statistical.f1,0.1515
anomaly_detection,statistical.true_positives,44
anomaly_detection,statistical.false_positives,475
anomaly_detection,isolation_forest.precision,0.0158
anomaly_detection,isolation_forest.recall,0.0968
anomaly_detection,isolation_forest.f1,0.0271
anomaly_detection,isolation_forest.true_positives,6
anomaly_detection,isolation_forest.false_positives,374
optimization,baseline.strategy,Rule-Based (Baseline)
optimization,baseline.grid_import_kwh,213.1
optimization,baseline.pv_generation_kwh,328.8
optimization,baseline.load_consumption_kwh,480.7
optimization,baseline.self_consumption_pct,81.4
optimization,baseline.self_sufficiency_pct,55.7
optimization,baseline.total_cost_mad,255.74
optimization,baseline.daily_avg_cost_mad,18.27
optimization,baseline.peak_grid_w,14065.0
optimization,baseline.co2_kg,138.5
optimization,baseline.co2_daily_kg,9.89
optimization,optimized.strategy,MILP-Optimized
optimization,optimized.grid_import_kwh,165.1
optimization,optimized.pv_generation_kwh,328.8
optimization,optimized.load_consumption_kwh,480.7
optimization,optimized.self_consumption_pct,96.0
optimization,optimized.self_sufficiency_pct,65.7
optimization,optimized.total_cost_mad,244.8
optimization,optimized.daily_avg_cost_mad,17.49
optimization,optimized.peak_grid_w,8840.0
optimization,optimized.co2_kg,107.3
optimization,optimized.co2_daily_kg,7.67
optimization,improvement.grid_reduction_pct,22.5
optimization,improvement.cost_reduction_pct,4.3
optimization,improvement.peak_reduction_pct,37.1
optimization,improvement.co2_reduction_pct,22.5
optimization,improvement.self_consumption_gain_pp,14.6
